X,Y,OBJECTID,DOCUMENT_NBR,CRASH_YEAR,CRASH_DT,CRASH_MILITARY_TM,CRASH_SEVERITY,K_PEOPLE,A_PEOPLE,B_PEOPLE,C_PEOPLE,PERSONS_INJURED,PEDESTRIANS_KILLED,PEDESTRIANS_INJURED,VEH_COUNT,COLLISION_TYPE,WEATHER_CONDITION,LIGHT_CONDITION,RD_TYPE,ROADWAY_SURFACE_COND,RELATION_TO_ROADWAY,ROADWAY_ALIGNMENT,ROADWAY_SURFACE_TYPE,ROADWAY_DEFECT,ROADWAY_DESCRIPTION,INTERSECTION_TYPE,TRAFFIC_CONTROL_TYPE,TRFC_CTRL_STATUS_TYPE,WORK_ZONE_RELATED,WORK_ZONE_LOCATION,WORK_ZONE_TYPE,FIRST_HARMFUL_EVENT,FIRST_HARMFUL_EVENT_LOC,ALCOHOL_NOTALCOHOL,BELTED_UNBELTED,BIKE_NONBIKE,DISTRACTED_NOTDISTRACTED,DEER_NODEER,DROWSY_NOTDROWSY,DRUG_NODRUG,GR_NOGR,HITRUN_NOT_HITRUN,LGTRUCK_NONLGTRUCK,MOTOR_NONMOTOR,PED_NONPED,RR,SPEED_NOTSPEED,SCHOOL_ZONE,SENIOR_NOTSENIOR,YOUNG_NOTYOUNG,MAINLINE_YN,NIGHT,VDOT_DISTRICT,JURIS_CODE,PHYSICAL_JURIS,FUN,FAC,AREA_TYPE,SYSTEM,VSP,OWNERSHIP,INTERSECTION_ANALYSIS,PLAN_DISTRICT,MPO_NAME,RTE_NM,RNS_MP,NODE,OFFSET
-77.37049801099991,37.781087729,244985,153135170,2015,2015/10/30 17:00:00+00,1108,O,0,0,0,0,0,0,0,3,10. Deer,1. No Adverse Condition (Clear/Cloudy),2. Daylight,NOT_RD,1. Dry,8. Non-Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,6. No Traffic Control Device Present,2. No,,,23. Animal,1. On Roadway,No,Belted,No,No,Yes,No,No,No,No,No,No,No,No,No,3. No,Yes,No,Yes,No,4. Richmond,42,042. Hanover County,3,"0. Two-way, non-divided",Rural,PRIMARY,1,VDOT_PRI,Not Intersection,Richmond Regional,RICH,R-VA   US00301NB,94.2,373585.0,2941.0
-75.832103973,37.517334035,335017,152385141,2015,2015/08/25 17:00:00+00,1524,K,1,0,2,0,2,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,NOT_RD,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,No,Unbelted,No,No,No,No,No,No,No,No,No,No,No,No,3. No,Yes,No,Yes,No,5. Hampton Roads,217,217. Town of Exmore,2,"1. Divided, no control of access",Rural,PRIMARY,5,VDOT_PRI,VDOT Intersection,Accomack-Northampton,,R-VA   US00013SB,103.4,488055.0,16.0
-82.100190024,37.2215787640001,797135,191435155,2019,2019/05/20 17:00:00+00,1035,B,0,0,2,0,2,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,NOT_RD,1. Dry,8. Non-Intersection,2. Curve - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,7. No Passing Lines,1. Yes - Working,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,No,Unbelted,No,No,No,No,No,No,No,No,No,No,No,No,3. No,Yes,No,Yes,No,1. Bristol,13,013. Buchanan County,3,"0. Two-way, non-divided",Rural,PRIMARY,4,VDOT_PRI,Not Intersection,Cumberland Plateau,,R-VA   SR00083WB,41.01,168055.0,312.0
-77.395086697,36.9432134240001,682863,181105139,2018,2018/04/19 17:00:00+00,1444,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,NOT_RD,1. Dry,9. Within Intersection,5. Hillcrest - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",2. Two Approaches,4. Stop Sign,1. Yes - Working,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,No,Belted,No,Yes,No,No,No,No,No,No,No,No,No,No,3. No,Yes,No,Yes,No,5. Hampton Roads,305,305. Town of Stony Creek,3,"1. Divided, no control of access",Rural,PRIMARY,5,VDOT_PRI,VDOT Intersection,Crater,,R-VA   SR00040WB,196.34,631478.0,0.0
-78.48855999999999,38.0689,386988,163095285,2016,2016/11/04 17:00:00+00,1313,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,NOT_RD,1. Dry,1. Main-Line Roadway,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,6. No Traffic Control Device Present,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,No,Belted,No,No,No,No,No,No,No,No,No,No,No,No,3. No,Yes,Yes,Yes,No,7. Culpeper,2,002. Albemarle County,,,Rural,SECONDARY,3,VDOT_SEC,Not Intersection,Thomas Jefferson,CVIL,U-VA002SC99999UK,,,
-77.953739094,38.6079180580001,86205,133255204,2013,2013/10/19 17:00:00+00,100,O,0,0,0,0,0,0,0,1,10. Deer,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,NOT_RD,1. Dry,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",2. Two Approaches,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,23. Animal,1. On Roadway,No,Belted,No,No,Yes,No,No,No,No,No,No,No,No,No,3. No,Yes,No,Yes,Yes,7. Culpeper,23,023. Culpeper County,3,"0. Two-way, non-divided",Rural,PRIMARY,2,VDOT_PRI,VDOT Intersection,Rappahannock - Rapidan,,R-VA   SR00229SB,9.5,233082.0,32.0
-77.046650955,37.498000932,836700,191825220,2019,2019/06/29 17:00:00+00,1340,K,1,0,1,1,2,0,0,3,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,NOT_RD,1. Dry,"7. Other location not listed above within an interchange area (median, shoulder , roadside)",7. Dip - Straight,"2. Blacktop, Asphalt, Bituminous",3. Soft or Low Shoulder,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,No,Belted,No,Yes,No,No,No,No,No,No,No,No,No,No,3. No,Yes,No,Yes,No,4. Richmond,63,063. New Kent County,1,"3. Divided, full control of access",Rural,INTERSTATE,1,VDOT_IS,Not Intersection,Richmond Regional,RICH,R-VA   IS00064EB,213.7,,
-77.877786997,36.744609370999996,139350,140175042,2014,2014/01/16 17:00:00+00,1330,A,0,1,0,0,1,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,NOT_RD,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",3. Three Approaches,4. Stop Sign,1. Yes - Working,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,No,Belted,No,No,No,No,No,No,No,No,No,No,No,No,3. No,Yes,No,Yes,No,4. Richmond,12,012. Brunswick County,2,"1. Divided, no control of access",Rural,PRIMARY,5,VDOT_PRI,Not Intersection,Southside,,R-VA   US00058WB,391.43,163317.0,776.0
-78.1190529359999,36.776901138,283708,150285200,2015,2015/01/27 17:00:00+00,2106,K,1,0,0,0,0,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,RD_RIGHT,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,14. Ditch,2. Shoulder,No,Belted,No,No,No,No,No,No,No,No,No,No,No,No,3. No,Yes,No,Yes,Yes,4. Richmond,58,058. Mecklenburg County,4,"0. Two-way, non-divided",Rural,SECONDARY,3,VDOT_SEC,Not Intersection,Southside,,R-VA058SC00637NB,2.87,453134.0,829.0
-76.718071596,36.8021222290001,175767,141615246,2014,2014/06/10 17:00:00+00,1416,K,1,0,0,0,0,0,0,4,5. Sideswipe - Opposite Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_UNKNOWN,1. Dry,1. Main-Line Roadway,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,No,Belted,No,No,No,No,No,No,No,Yes,No,No,No,Yes,3. No,Yes,No,Yes,No,5. Hampton Roads,46,046. Isle of Wight County,2,"0. Two-way, non-divided",Rural,PRIMARY,5,VDOT_PRI,Not Intersection,Hampton Roads,HAMP,R-VA   US00460WB,367.72,393139.0,539.0
