X,Y,OBJECTID,DOCUMENT_NBR,CRASH_YEAR,CRASH_DT,CRASH_MILITARY_TM,CRASH_SEVERITY,K_PEOPLE,A_PEOPLE,B_PEOPLE,C_PEOPLE,PERSONS_INJURED,PEDESTRIANS_KILLED,PEDESTRIANS_INJURED,VEH_COUNT,COLLISION_TYPE,WEATHER_CONDITION,LIGHT_CONDITION,RD_TYPE,ROADWAY_SURFACE_COND,RELATION_TO_ROADWAY,ROADWAY_ALIGNMENT,ROADWAY_SURFACE_TYPE,ROADWAY_DEFECT,ROADWAY_DESCRIPTION,INTERSECTION_TYPE,TRAFFIC_CONTROL_TYPE,TRFC_CTRL_STATUS_TYPE,WORK_ZONE_RELATED,WORK_ZONE_LOCATION,WORK_ZONE_TYPE,FIRST_HARMFUL_EVENT,FIRST_HARMFUL_EVENT_LOC,ALCOHOL_NOTALCOHOL,BELTED_UNBELTED,BIKE_NONBIKE,DISTRACTED_NOTDISTRACTED,DEER_NODEER,DROWSY_NOTDROWSY,DRUG_NODRUG,GR_NOGR,HITRUN_NOT_HITRUN,LGTRUCK_NONLGTRUCK,MOTOR_NONMOTOR,PED_NONPED,RR,SPEED_NOTSPEED,SCHOOL_ZONE,SENIOR_NOTSENIOR,YOUNG_NOTYOUNG,MAINLINE_YN,NIGHT,VDOT_DISTRICT,JURIS_CODE,PHYSICAL_JURIS,FUN,FAC,AREA_TYPE,SYSTEM,VSP,OWNERSHIP,INTERSECTION_ANALYSIS,PLAN_DISTRICT,MPO_NAME,RTE_NM,RNS_MP,NODE,OFFSET
-76.5105441859999,37.39981378,727229,181685060,2018,2018/06/16 17:00:00+00,1325,A,0,1,0,0,1,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_RIGHT,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,7. No Passing Lines,1. Yes - Working,2. No,,,14. Ditch,4. Roadside,No,Belted,No,Yes,No,No,No,No,No,No,No,No,No,No,3. No,No,Yes,Yes,No,6. Fredericksburg,36,036. Gloucester County,4,"0. Two-way, non-divided",Rural,SECONDARY,5,VDOT_SEC,Not Intersection,"Middle Peninsula, Hampton Roads",HAMP,R-VA036SC00629SB,7.46,343133.0,671.0
-77.809813366,36.9286584270001,853272,190155029,2019,2019/01/13 17:00:00+00,410,K,1,1,0,0,1,0,0,1,9. Fixed Object - Off Road,5. Rain,5. Darkness - Road Not Lighted,RD_LEFT,2. Wet,8. Non-Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,2. Trees,4. Roadside,No,Unbelted,No,No,No,No,No,No,No,No,No,No,No,Yes,3. No,No,Yes,Yes,Yes,4. Richmond,12,012. Brunswick County,6,"0. Two-way, non-divided",Rural,SECONDARY,5,VDOT_SEC,Not Intersection,Southside,,R-VA012SC00636EB,4.42,163144.0,5174.0
-77.778132548,38.745883181000096,201176,141225148,2014,2014/03/31 17:00:00+00,1641,O,0,0,0,0,0,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_LEFT,1. Dry,1. Main-Line Roadway,2. Curve - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,2. Trees,1. On Roadway,No,Belted,No,No,No,No,No,No,No,Yes,No,No,No,Yes,3. No,No,Yes,Yes,No,7. Culpeper,30,030. Fauquier County,4,"0. Two-way, non-divided",Rural,SECONDARY,2,VDOT_SEC,Not Intersection,Rappahannock - Rapidan,NOVA,R-VA030SC00605EB,2.42,739404.0,312.0
-82.161422457,36.972189179000104,401016,162505302,2016,2016/09/01 17:00:00+00,2015,K,1,0,0,0,0,0,0,2,3. Head On,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,RD_UNKNOWN,1. Dry,8. Non-Intersection,6. Hillcrest - Curve,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,No,Belted,No,No,No,No,No,No,No,No,Yes,No,No,Yes,3. No,No,Yes,Yes,Yes,1. Bristol,83,083. Russell County,6,"0. Two-way, non-divided",Rural,SECONDARY,4,VDOT_SEC,Not Intersection,Cumberland Plateau,,R-VA083SC00745WB,1.11,591085.0,2064.0
-78.9578981889999,38.2599037620001,854627,191375005,2019,2019/05/16 17:00:00+00,1900,K,1,0,0,0,0,1,0,1,12. Ped,1. No Adverse Condition (Clear/Cloudy),2. Daylight,NOT_RD,1. Dry,9. Within Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",4. Four Approaches,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,19. Ped,2. Shoulder,No,Belted,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,3. No,No,Yes,Yes,No,8. Staunton,7,007. Augusta County,4,"0. Two-way, non-divided",Rural,PRIMARY,3,VDOT_PRI,VDOT Intersection,Central Shenandoah,SAW,R-VA   US00011NB,247.96,135629.0,0.0
-80.33923207,37.0177185310001,420050,162335223,2016,2016/08/18 17:00:00+00,730,O,0,0,0,0,0,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_RIGHT,1. Dry,8. Non-Intersection,4. Grade - Curve,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,5. Slow or Warning Sign,1. Yes - Working,2. No,,,3. Utility Pole,4. Roadside,No,Belted,No,No,No,No,No,No,No,No,No,No,No,Yes,3. No,No,Yes,Yes,No,2. Salem,31,031. Floyd County,4,"0. Two-way, non-divided",Rural,SECONDARY,6,VDOT_SEC,Not Intersection,New River Valley,,R-VA031SC00615NB,13.97,318052.0,533.0
-78.843960776,37.8204255790001,636221,180075093,2018,2018/01/06 17:00:00+00,1300,K,1,0,0,0,0,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_LEFT,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,1. Bank Or Ledge,3. Median,No,Belted,No,No,No,No,No,No,No,No,No,No,No,No,3. No,No,Yes,Yes,No,3. Lynchburg,62,062. Nelson County,2,"1. Divided, no control of access",Rural,PRIMARY,3,VDOT_PRI,Not Intersection,Thomas Jefferson,,R-VA   US00029SB,110.93,473068.0,3569.0
-81.98103523,37.3177130010001,729328,180635074,2018,2018/02/27 17:00:00+00,1000,B,0,0,2,0,2,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_LEFT,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,7. No Passing Lines,1. Yes - Working,2. No,,,2. Trees,"8. Off Roadway, Location Unknown",No,Belted,No,Yes,No,Yes,No,No,No,No,No,No,No,No,3. No,No,Yes,Yes,No,1. Bristol,13,013. Buchanan County,4,"0. Two-way, non-divided",Rural,PRIMARY,4,VDOT_PRI,Not Intersection,Cumberland Plateau,,R-VA   SR00083EB,54.85,168109.0,560.0
-78.414286609,38.9627431010001,702155,181175258,2018,2018/04/26 17:00:00+00,1650,K,1,0,0,0,0,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_LEFT,1. Dry,8. Non-Intersection,6. Hillcrest - Curve,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,1. Bank Or Ledge,4. Roadside,No,Belted,No,No,No,No,No,No,No,No,No,No,No,Yes,3. No,No,Yes,Yes,No,8. Staunton,85,085. Shenandoah County,4,"0. Two-way, non-divided",Rural,PRIMARY,2,VDOT_PRI,Not Intersection,Northern Shenandoah Valley,,R-VA   US00011SB,307.85,601201.0,1130.0
-77.637539607,38.7031789590001,709477,181915056,2018,2018/07/06 17:00:00+00,2209,K,1,0,3,0,3,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,NOT_RD,1. Dry,9. Within Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",4. Four Approaches,4. Stop Sign,1. Yes - Working,2. No,,,30. Overturn (Rollover),1. On Roadway,No,Unbelted,No,No,No,No,No,No,No,No,No,No,No,No,3. No,No,Yes,Yes,Yes,7. Culpeper,30,030. Fauquier County,6,"0. Two-way, non-divided",Rural,SECONDARY,2,VDOT_SEC,VDOT Intersection,Rappahannock - Rapidan,,R-VA030SC00604NB,2.8,313040.0,5.0
-79.452197809,36.892822525,139556,142415257,2014,2014/08/24 17:00:00+00,1108,K,1,1,0,0,1,0,0,2,3. Head On,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_UNKNOWN,1. Dry,1. Main-Line Roadway,4. Grade - Curve,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,No,Unbelted,No,Yes,No,No,No,No,No,No,No,No,No,No,3. No,No,Yes,Yes,No,3. Lynchburg,71,071. Pittsylvania County,4,"0. Two-way, non-divided",Rural,SECONDARY,6,VDOT_SEC,Not Intersection,West Piedmont,,R-VA071SC00649WB,8.6,518270.0,2545.0
-77.789000532,37.778756081,844559,192025192,2019,2019/07/21 17:00:00+00,24,K,1,0,0,0,0,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,RD_LEFT,1. Dry,8. Non-Intersection,2. Curve - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,2. Trees,4. Roadside,Yes,Unbelted,No,Yes,No,No,No,No,No,No,No,No,No,Yes,3. No,No,Yes,Yes,Yes,7. Culpeper,54,054. Louisa County,5,"0. Two-way, non-divided",Rural,SECONDARY,1,VDOT_SEC,Not Intersection,Thomas Jefferson,,R-VA054SC00635EB,3.37,433056.0,6167.0
-81.41085725399999,37.127512284,974105,201875076,2020,2020/06/13 17:00:00+00,1135,K,1,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_UNKNOWN,1. Dry,8. Non-Intersection,4. Grade - Curve,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,7. No Passing Lines,1. Yes - Working,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,No,Belted,No,No,No,No,No,No,No,No,Yes,No,No,Yes,3. No,Yes,Yes,Yes,No,1. Bristol,92,092. Tazewell County,6,"0. Two-way, non-divided",Rural,SECONDARY,4,VDOT_SEC,Not Intersection,Cumberland Plateau,,R-VA092SC00623NB,11.34,636072.0,4002.0
-77.43225952599991,37.8118173660001,946071,203225185,2020,2020/11/13 17:00:00+00,2249,B,0,0,1,0,1,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,RD_LEFT,1. Dry,8. Non-Intersection,2. Curve - Level,"2. Blacktop, Asphalt, Bituminous",3. Soft or Low Shoulder,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,2. Trees,1. On Roadway,No,Belted,No,No,Yes,No,No,No,No,No,No,No,No,No,3. No,No,Yes,Yes,Yes,4. Richmond,42,042. Hanover County,4,"0. Two-way, non-divided",Rural,SECONDARY,1,VDOT_SEC,Not Intersection,Richmond Regional,RICH,R-VA042SC00738SB,18.86,373286.0,9076.0
-78.829637033,38.369490564,967656,202765040,2020,2020/09/28 17:00:00+00,1829,K,1,0,0,0,0,0,0,2,3. Head On,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_UNKNOWN,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,7. No Passing Lines,1. Yes - Working,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,Yes,Unbelted,No,No,No,No,No,No,No,No,No,No,No,No,3. No,No,Yes,Yes,No,8. Staunton,82,082. Rockingham County,3,"0. Two-way, non-divided",Rural,PRIMARY,2,VDOT_PRI,Not Intersection,Central Shenandoah,,R-VA   SR00276NB,7.44,586265.0,1098.0
-79.032155852,36.6263182120001,919140,202385001,2020,2020/08/23 17:00:00+00,1525,K,1,1,0,0,1,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_LEFT,1. Dry,8. Non-Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,2. Trees,3. Median,No,Unbelted,No,No,No,No,No,No,No,No,No,No,No,Yes,3. No,No,Yes,Yes,No,3. Lynchburg,41,041. Halifax County,,,Rural,PRIMARY,3,VDOT_PRI,Not Intersection,Southside,,R-VA   US00360EB,20.98,,
-82.299688316,37.181742528,330711,151055215,2015,2015/04/12 17:00:00+00,1555,K,1,2,2,0,4,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_RIGHT,1. Dry,8. Non-Intersection,4. Grade - Curve,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,1. Bank Or Ledge,4. Roadside,No,Unbelted,No,No,No,No,No,No,No,No,No,No,No,Yes,3. No,No,Yes,Yes,No,1. Bristol,25,025. Dickenson County,6,"0. Two-way, non-divided",Rural,SECONDARY,4,VDOT_SEC,Not Intersection,Cumberland Plateau,,R-VA025SC00730EB,0.44,243168.0,2297.0
-79.60371607100001,36.65857928,244153,152235349,2015,2015/08/11 17:00:00+00,810,K,1,0,0,0,0,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_LEFT,2. Wet,8. Non-Intersection,4. Grade - Curve,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,30. Overturn (Rollover),4. Roadside,No,Unbelted,No,No,No,No,No,No,No,No,No,No,No,Yes,3. No,No,Yes,Yes,No,3. Lynchburg,71,071. Pittsylvania County,5,"0. Two-way, non-divided",Rural,SECONDARY,6,VDOT_SEC,Not Intersection,West Piedmont,,R-VA071SC00851EB,3.67,518832.0,913.0
-79.175025128,37.3013884800001,721812,180945252,2018,2018/04/03 17:00:00+00,1315,K,1,1,2,0,3,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_LEFT,1. Dry,8. Non-Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,"7. Tunnel, Bridge, Underpass, Culvert, etc.",3. Median,No,Unbelted,No,Yes,No,No,No,No,No,No,No,No,No,No,3. No,No,Yes,Yes,No,3. Lynchburg,15,015. Campbell County,2,"1. Divided, no control of access",Rural,PRIMARY,3,VDOT_PRI,Not Intersection,Region 2000,LYN,R-VA   US00029NB,65.2,178891.0,1737.0
-78.237912873,38.015664916999995,768652,190355036,2019,2019/02/02 17:00:00+00,1255,K,1,1,0,0,1,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_LEFT,1. Dry,8. Non-Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,2. Trees,4. Roadside,No,Unbelted,No,No,No,No,No,No,No,No,No,No,No,Yes,3. No,No,Yes,Yes,No,7. Culpeper,54,054. Louisa County,6,"0. Two-way, non-divided",Rural,SECONDARY,1,VDOT_SEC,Not Intersection,Thomas Jefferson,,R-VA054SC00615WB,3.61,433091.0,4419.0
-77.50278,38.23256,632640,182055186,2018,2018/07/23 17:00:00+00,1431,O,0,0,0,0,0,0,0,3,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,NOT_RD,1. Dry,"13. Driveway, Alley-Access - Related",1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,4. Stop Sign,1. Yes - Working,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,No,Belted,No,No,No,No,No,No,No,No,No,No,No,No,3. No,Yes,Yes,No,No,6. Fredericksburg,88,088. Spotsylvania County,,,Rural,SECONDARY,2,VDOT_OTHER,Not Intersection,George Washington Regional,FRED,S-VA088NP SOUTHPOINT PKWY,0.33,,
