X,Y,OBJECTID,DOCUMENT_NBR,CRASH_YEAR,CRASH_DT,CRASH_MILITARY_TM,CRASH_SEVERITY,K_PEOPLE,A_PEOPLE,B_PEOPLE,C_PEOPLE,PERSONS_INJURED,PEDESTRIANS_KILLED,PEDESTRIANS_INJURED,VEH_COUNT,COLLISION_TYPE,WEATHER_CONDITION,LIGHT_CONDITION,RD_TYPE,ROADWAY_SURFACE_COND,RELATION_TO_ROADWAY,ROADWAY_ALIGNMENT,ROADWAY_SURFACE_TYPE,ROADWAY_DEFECT,ROADWAY_DESCRIPTION,INTERSECTION_TYPE,TRAFFIC_CONTROL_TYPE,TRFC_CTRL_STATUS_TYPE,WORK_ZONE_RELATED,WORK_ZONE_LOCATION,WORK_ZONE_TYPE,FIRST_HARMFUL_EVENT,FIRST_HARMFUL_EVENT_LOC,ALCOHOL_NOTALCOHOL,BELTED_UNBELTED,BIKE_NONBIKE,DISTRACTED_NOTDISTRACTED,DEER_NODEER,DROWSY_NOTDROWSY,DRUG_NODRUG,GR_NOGR,HITRUN_NOT_HITRUN,LGTRUCK_NONLGTRUCK,MOTOR_NONMOTOR,PED_NONPED,RR,SPEED_NOTSPEED,SCHOOL_ZONE,SENIOR_NOTSENIOR,YOUNG_NOTYOUNG,MAINLINE_YN,NIGHT,VDOT_DISTRICT,JURIS_CODE,PHYSICAL_JURIS,FUN,FAC,AREA_TYPE,SYSTEM,VSP,OWNERSHIP,INTERSECTION_ANALYSIS,PLAN_DISTRICT,MPO_NAME,RTE_NM,RNS_MP,NODE,OFFSET
-77.43711103399991,38.4737548860001,491177,161545169,2016,2016/06/01 17:00:00+00,1443,K,1,0,1,0,1,0,0,2,3. Head On,1. No Adverse Condition (Clear/Cloudy),2. Daylight,NOT_RD,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,No,Unbelted,No,No,No,No,No,No,No,No,No,No,No,No,3. No,No,Yes,Yes,No,6. Fredericksburg,89,089. Stafford County,I,"0. Two-way, non-divided",Urban,SECONDARY,2,VDOT_SEC,VDOT Intersection,George Washington Regional,FRED,R-VA089SC00610EB,8.76,621098.0,11.0
-77.57965964499991,37.4110286690001,732648,181135320,2018,2018/04/18 17:00:00+00,915,O,0,0,0,0,0,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_LEFT,1. Dry,12. Crossover Related,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,2. Trees,3. Median,No,Belted,No,No,No,No,No,No,No,No,No,No,No,Yes,3. No,No,Yes,Yes,No,4. Richmond,20,020. Chesterfield County,B,"3. Divided, full control of access",Urban,PRIMARY,1,VDOT_PRI,Not Intersection,"Richmond Regional, Crater",RICH,R-VA   SR00288NB,10.41,,
-78.854706495,38.4383633830001,359653,153365314,2015,2015/11/09 17:00:00+00,1723,K,1,0,0,0,0,0,0,2,9. Fixed Object - Off Road,5. Rain,4. Darkness - Road Lighted,RD_UNKNOWN,2. Wet,8. Non-Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,No,Unbelted,No,No,No,No,No,No,No,No,No,No,No,No,3. No,No,Yes,Yes,Yes,8. Staunton,115,115. City of Harrisonburg,I,"0. Two-way, non-divided",Urban,OTHER,2,URBAN_SEC,Not Intersection,Central Shenandoah,HAR,R-VA115UR04107NB,1.64,587159.0,1193.0
-76.19026160999991,36.7745253250001,345623,150445134,2015,2015/02/12 17:00:00+00,1532,O,0,0,0,0,0,0,0,2,1. Rear End,6. Snow,4. Darkness - Road Lighted,NOT_RD,2. Wet,1. Main-Line Roadway,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,No,Belted,No,Yes,No,No,No,No,No,No,No,No,No,No,3. No,No,Yes,Yes,Yes,5. Hampton Roads,134,134. City of Virginia Beach,H,"0. Two-way, non-divided",Urban,OTHER,5,URBAN_SEC,Not Intersection,Hampton Roads,HAMP,R-VA134UR08661SB,0.72,541412.0,1716.0
-79.393865783,36.5872568350001,136645,141205201,2014,2014/04/30 17:00:00+00,949,C,0,0,0,1,1,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,NOT_RD,1. Dry,1. Main-Line Roadway,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,20. Motor Vehicle In Transport,7. In Parking Lane or Zone,No,Belted,No,Yes,No,No,No,No,No,No,No,No,No,No,3. No,No,Yes,Yes,No,3. Lynchburg,108,108. City of Danville,H,"0. Two-way, non-divided",Urban,OTHER,6,URBAN_PRI,Not Intersection,West Piedmont,DAN,R-VA   SR00293PA001,0.11,519727.0,591.0
-76.587675474,36.689784657000104,750423,181345273,2018,2018/04/24 17:00:00+00,1428,K,1,0,4,0,4,0,0,1,9. Fixed Object - Off Road,5. Rain,2. Daylight,RD_LEFT,2. Wet,1. Main-Line Roadway,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,28. Ran Off Road,2. Shoulder,No,Unbelted,No,No,No,No,No,No,No,No,No,No,No,Yes,3. No,No,Yes,Yes,No,5. Hampton Roads,133,133. City of Suffolk,I,"0. Two-way, non-divided",Urban,OTHER,5,URBAN_SEC,Not Intersection,Hampton Roads,HAMP,R-VA133UR00604NB,10.43,468015.0,9330.0
-79.96579191599992,37.281501319,942500,202235182,2020,2020/08/06 17:00:00+00,1741,K,1,0,0,1,1,0,0,2,3. Head On,1. No Adverse Condition (Clear/Cloudy),2. Daylight,RD_UNKNOWN,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",4. Four Approaches,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,No,Belted,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,3. No,No,Yes,Yes,No,2. Salem,128,128. City of Roanoke,I,"0. Two-way, non-divided",Urban,OTHER,6,URBAN_SEC,Urban Intersection,Roanoke Valley-Alleghany,ROAN,R-VA128UR08030WB,0.63,573488.0,3163.0
-76.264383803,36.8310239090001,773941,200145116,2019,2019/12/31 17:00:00+00,1347,K,1,0,3,0,3,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,NOT_RD,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,3. Traffic Signal,1. Yes - Working,2. No,,,13. Curb,1. On Roadway,No,Unbelted,No,No,No,No,No,No,Yes,No,No,No,No,No,3. No,No,Yes,Yes,No,5. Hampton Roads,122,122. City of Norfolk,E,"1. Divided, no control of access",Urban,OTHER,5,URBAN_PRI,Urban Intersection,Hampton Roads,HAMP,R-VA   US00460EB,398.28,483771.0,5.0
-79.90845387600001,37.380426094,97881,130155352,2013,2013/01/15 17:00:00+00,1230,O,0,0,0,0,0,0,0,2,4. Sideswipe - Same Direction,5. Rain,2. Daylight,NOT_RD,2. Wet,8. Non-Intersection,4. Grade - Curve,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,20. Motor Vehicle In Transport,1. On Roadway,No,Belted,No,No,No,No,No,No,No,Yes,No,No,No,Yes,3. No,No,Yes,Yes,No,2. Salem,11,011. Botetourt County,A,"3. Divided, full control of access",Urban,INTERSTATE,6,VDOT_IS,Not Intersection,Roanoke Valley-Alleghany,ROAN,R-VA   IS00081SB,150.4,,
-77.55138642299991,36.671616559,641109,180445222,2018,2018/02/10 17:00:00+00,100,K,1,0,0,0,0,1,0,1,12. Ped,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,NOT_RD,1. Dry,8. Non-Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,19. Ped,1. On Roadway,Yes,Belted,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,3. No,No,Yes,Yes,Yes,5. Hampton Roads,40,040. Greensville County,H,"1. Divided, no control of access",Urban,PRIMARY,5,VDOT_PRI,Not Intersection,Crater,,R-VA   US00301SB,9.02,363359.0,1294.0
